,Team 1,Team 2,Date,Venue_Team1,Venue_Team2,Winner,Last10MatchesTeam1,Last10MatchesTeam2,Last10ConflictsTeam1,Last10ConflictsTeam2,label
68,England,West Indies,1979-06-23,0,1,West Indies,8.0,8.0,1.0,4.0,1.0
69,Australia,West Indies,1979-11-27,0,1,Australia,5.0,9.0,2.0,3.0,0.0
70,England,West Indies,1979-11-28,2,2,England,7.0,8.0,1.0,5.0,0.0
71,Australia,England,1979-12-08,0,1,England,6.0,7.0,4.0,6.0,1.0
72,Australia,West Indies,1979-12-09,0,1,West Indies,5.0,7.0,3.0,3.0,1.0
73,Australia,England,1979-12-11,0,1,England,5.0,7.0,4.0,6.0,1.0
74,Australia,West Indies,1979-12-21,0,1,Australia,4.0,7.0,3.0,4.0,0.0
75,England,West Indies,1979-12-23,2,2,West Indies,7.0,6.0,2.0,5.0,1.0
76,Australia,England,1979-12-26,0,1,England,5.0,7.0,4.0,6.0,1.0
77,Australia,England,1980-01-14,0,1,England,4.0,8.0,3.0,7.0,1.0
78,England,West Indies,1980-01-16,2,2,West Indies,8.0,6.0,2.0,6.0,1.0
79,Australia,West Indies,1980-01-18,0,1,Australia,3.0,7.0,4.0,4.0,0.0
80,England,West Indies,1980-01-20,2,2,West Indies,7.0,6.0,2.0,7.0,1.0
81,England,West Indies,1980-01-22,2,2,West Indies,6.0,6.0,2.0,8.0,1.0
82,New Zealand,West Indies,1980-02-06,0,1,New Zealand,5.0,6.0,0.0,2.0,0.0
83,England,West Indies,1980-05-28,0,1,West Indies,5.0,5.0,1.0,9.0,1.0
84,England,West Indies,1980-05-30,0,1,England,5.0,6.0,1.0,9.0,0.0
85,England,Australia,1980-08-20,0,1,England,5.0,4.0,7.0,3.0,0.0
86,England,Australia,1980-08-22,0,1,England,5.0,4.0,7.0,3.0,0.0
87,Pakistan,West Indies,1980-11-21,0,1,West Indies,4.0,6.0,0.0,3.0,1.0
88,Australia,New Zealand,1980-11-23,0,1,New Zealand,3.0,6.0,2.0,0.0,1.0
89,Australia,New Zealand,1980-11-25,0,1,Australia,2.0,6.0,2.0,1.0,0.0
90,Pakistan,West Indies,1980-12-05,0,1,West Indies,4.0,6.0,0.0,4.0,1.0
91,Australia,India,1980-12-06,0,1,India,3.0,2.0,0.0,0.0,1.0
92,Australia,New Zealand,1980-12-07,0,1,Australia,3.0,5.0,3.0,1.0,0.0
93,India,New Zealand,1980-12-09,2,2,India,3.0,4.0,0.0,4.0,0.0
94,Australia,India,1980-12-18,0,1,Australia,4.0,3.0,0.0,1.0,0.0
95,Pakistan,West Indies,1980-12-19,0,1,West Indies,3.0,7.0,0.0,5.0,1.0
96,India,New Zealand,1980-12-21,2,2,New Zealand,3.0,4.0,1.0,4.0,1.0
97,India,New Zealand,1980-12-23,2,2,India,3.0,5.0,1.0,5.0,0.0
98,Australia,India,1981-01-08,0,1,Australia,4.0,4.0,1.0,1.0,0.0
99,India,New Zealand,1981-01-10,2,2,New Zealand,3.0,4.0,2.0,5.0,1.0
100,Australia,India,1981-01-11,0,1,Australia,5.0,3.0,2.0,1.0,0.0
101,Australia,New Zealand,1981-01-13,0,1,New Zealand,6.0,4.0,4.0,1.0,1.0
102,Australia,India,1981-01-15,0,1,Australia,5.0,3.0,3.0,1.0,0.0
103,India,New Zealand,1981-01-18,2,2,New Zealand,3.0,5.0,2.0,6.0,1.0
104,Australia,New Zealand,1981-01-29,0,1,New Zealand,6.0,6.0,4.0,2.0,1.0
105,Australia,New Zealand,1981-01-31,0,1,Australia,6.0,6.0,4.0,3.0,0.0
106,Australia,New Zealand,1981-02-01,0,1,Australia,7.0,5.0,5.0,3.0,0.0
107,Australia,New Zealand,1981-02-03,0,1,Australia,7.0,5.0,6.0,3.0,0.0
108,West Indies,England,1981-02-04,0,1,West Indies,7.0,5.0,8.0,2.0,0.0
109,New Zealand,India,1981-02-14,0,1,New Zealand,5.0,3.0,7.0,2.0,0.0
110,New Zealand,India,1981-02-15,0,1,New Zealand,6.0,2.0,8.0,2.0,0.0
111,West Indies,England,1981-02-26,0,1,West Indies,7.0,5.0,8.0,2.0,0.0
112,England,Australia,1981-06-04,0,1,England,4.0,8.0,8.0,2.0,0.0
113,England,Australia,1981-06-06,0,1,Australia,4.0,7.0,8.0,2.0,1.0
114,England,Australia,1981-06-08,0,1,Australia,4.0,7.0,8.0,2.0,1.0
115,Pakistan,West Indies,1981-11-21,2,2,West Indies,3.0,8.0,0.0,6.0,1.0
116,Australia,Pakistan,1981-11-22,0,1,Pakistan,7.0,3.0,1.0,1.0,1.0
117,Australia,West Indies,1981-11-24,0,1,Australia,6.0,8.0,5.0,4.0,0.0
118,India,England,1981-11-25,0,1,England,1.0,4.0,0.0,3.0,1.0
119,Pakistan,West Indies,1981-12-05,2,2,Pakistan,4.0,7.0,0.0,7.0,0.0
120,Australia,Pakistan,1981-12-06,0,1,Australia,7.0,4.0,1.0,2.0,0.0
121,Australia,Pakistan,1981-12-17,0,1,Pakistan,7.0,3.0,2.0,2.0,1.0
122,Pakistan,West Indies,1981-12-19,2,2,West Indies,3.0,7.0,1.0,7.0,1.0
123,Australia,West Indies,1981-12-20,0,1,West Indies,7.0,7.0,6.0,4.0,1.0
124,India,England,1981-12-20,0,1,India,1.0,5.0,0.0,4.0,0.0
125,Australia,Pakistan,1982-01-09,0,1,Pakistan,6.0,3.0,2.0,3.0,1.0
126,Australia,West Indies,1982-01-10,0,1,West Indies,5.0,8.0,6.0,4.0,1.0
127,Pakistan,West Indies,1982-01-12,2,2,West Indies,4.0,8.0,1.0,8.0,1.0
128,Australia,Pakistan,1982-01-14,0,1,Australia,4.0,4.0,2.0,4.0,0.0
129,Pakistan,West Indies,1982-01-16,2,2,West Indies,4.0,8.0,1.0,9.0,1.0
130,Australia,West Indies,1982-01-17,0,1,West Indies,5.0,8.0,6.0,4.0,1.0
131,Australia,West Indies,1982-01-19,0,1,Australia,4.0,8.0,5.0,5.0,0.0
132,Australia,West Indies,1982-01-23,0,1,West Indies,4.0,7.0,6.0,4.0,1.0
133,Australia,West Indies,1982-01-24,0,1,West Indies,4.0,7.0,5.0,5.0,1.0
134,Australia,West Indies,1982-01-26,0,1,Australia,3.0,8.0,4.0,6.0,0.0
135,Australia,West Indies,1982-01-27,0,1,West Indies,3.0,8.0,5.0,5.0,1.0
136,India,England,1982-01-27,0,1,India,2.0,5.0,1.0,4.0,0.0
137,New Zealand,Australia,1982-02-13,0,1,New Zealand,6.0,3.0,3.0,7.0,0.0
138,Sri Lanka,England,1982-02-13,0,1,England,1.0,4.0,0.0,0.0,1.0
139,Sri Lanka,England,1982-02-14,0,1,Sri Lanka,1.0,4.0,0.0,1.0,0.0
140,New Zealand,Australia,1982-02-17,0,1,Australia,7.0,3.0,4.0,6.0,1.0
141,New Zealand,Australia,1982-02-20,0,1,Australia,6.0,4.0,4.0,6.0,1.0
142,Pakistan,Sri Lanka,1982-03-12,0,1,Pakistan,4.0,2.0,1.0,0.0,0.0
143,Pakistan,Sri Lanka,1982-03-29,0,1,Sri Lanka,5.0,2.0,2.0,0.0,1.0
144,Pakistan,Sri Lanka,1982-03-31,0,1,Pakistan,4.0,3.0,2.0,1.0,0.0
145,England,India,1982-06-02,0,1,England,3.0,2.0,4.0,2.0,0.0
146,England,India,1982-06-04,0,1,England,4.0,2.0,5.0,2.0,0.0
147,England,Pakistan,1982-07-17,0,1,England,5.0,4.0,5.0,3.0,0.0
